nombre,url,direccion,ciudad,provincia,telefono,productos
Francelab,https://ar.prvademecum.com/laboratorio/francelab-786/,Lamadrid 665,Tigre Tr. del Talar,Bs. As.,4715-9532,APRENTICE; AZAREX FIBRA ADELGA; DIAB DOS 1000 MG; DIAB DOS 500 MG; DIAB DOS 850 MG; DIABE PASS 5MG; FRABAN; NEXT STEP 2 MG; NEXT STEP 4 MG; NOVAMAS; PIOTAMAX 30 MG; PIOTAMAX 45 MG; PIOTAMAX MET 15/850; RESVERATROL FRANCELAB; TEMPLARIS
Artrotek,https://ar.prvademecum.com/laboratorio/artrotek-1004/,Baron de Eduardo Holmberg 4156,,Capital federal,47907779,
C D G ,https://ar.prvademecum.com/laboratorio/c-d-g--1035/,Calle 1 30 Pque.Ind.Tandil,Tandil,Bs. As.,0249-4429627,SAFE AQ MAX MEDIDOR DE GLUCOSA; SAFE AQ MAX SOLUCION CONTROL DE GLUCOSA; SAFE AQ MAX TIRAS REACTIVAS
Microsules Arg,https://ar.prvademecum.com/laboratorio/microsules-arg-191/,Cerviño 4407 Piso 9º,Capital,,(011) 3989-7250 líneas rot. Onc.3989-7261 - Medic.3989-7259,ACIDO ZOLEDRONICO MICROSULES; ADYARD; ALERGIANO; ALPRAZOLAM MICROSULES; ANASTROZOL MICROSULES; ANEXA; ARQUIMES; ARRIVE; ATENOLOL MICROSULES; BLACKXELL; CAPECTAN; CARBOPLATINO MICROSULES; CICLOFOSFAMIDA MICROSULES; CIPROTERONA MICROSULES; CISPLATINO MICROSULES
Biosidus S A U,https://ar.prvademecum.com/laboratorio/biosidus-s-a-u-884/,Constitución 4234,C.A.B.A.,,4909-8000,ACLASTA; AGALZYME; AMILIX; ANAFRANIL; BIOCLAVID 500/125; BIOCLAVID 875/125; BIOFERON; BIOMONAR; BLASTOFERON; BROMADENE; CASPOFUNGINA SANDOZ; COMTAN; ERELZI; ESCLEROFERON; HEMAX
Craveri,https://ar.prvademecum.com/laboratorio/craveri-73/,Arengreen 830 / Miranda 5237,Capital,,5453-4555,"AET; ALLOPURINOL CRAVERI RETARD; ANSIELIX DIGEST; ANTIBLOC 12,5; ANTIBLOC 25; ANTIBLOC 6,25; BIORGAN; BIORGAN AP; BIORGAN B; BIORGAN S; BLAST; CRAFIN; CRAVENORM; CRAVERIL DUO; CRAVETOL"
Biosintex Ret ,https://ar.prvademecum.com/laboratorio/biosintex-ret--962/,,,,,AEROPIEL; BIOXILINA; BIOXILINA DUO; BIOXILINA PLUS DUO; BUCOANGIN; BUCOANGIN FLURBI; BUCOANGIN FORTE; BUCOANGIN N CARAMELOS ANTIBIOTICOS; BUCOANGIN N EUCALIPTO; BUCOANGIN N MENTA; CARAMELOS ANTIBIOTICOS LEFMAR BLISTER; CEFAGRAND; CIAPAR; DIGESTINA; DIPIFEBRAL
Ibc,https://ar.prvademecum.com/laboratorio/ibc-952/,Av. Chivilcoy 304,,Capital federal,(011) 4674-0312,ACICLOVIR PHARMAVIAL; AMPICILINA PHARMAVIAL; AMPICILINA SULBACTAM PHARMAVIAL; ATRACURIUM PHARMAVIAL; AZITROMICINA PHARMAVIAL; AZTREONAM PHARMAVIAL; BROMURO DE VECURONIO PHARMAVIAL; CEFALOTINA PHARMAVIAL; CEFAZOLINA PHARMAVIAL; CEFEPIME PHARMAVIAL; CEFTAZIDIMA PHARMAVIAL; CEFTRIAXONA PHARMAVIAL; CLARITROMICINA PHARMAVIAL; CLINDAMICINA PHARMAVIAL; CLORURO DE SODIO 20% PHARMAVIAL
Nolter,https://ar.prvademecum.com/laboratorio/nolter-1012/,Ruta 40 s/nro Esquina calle 8,Pocito,SAN JUAN,(011) 4509-7100,APITENA; EMADIAN; EMADIANMET; JALZER; JALZERMET; NALTREVA; NIFEVA; OLTUX; OLTUX D; PROCTYL; PROCTYL HC 10GRS; PROCTYL HC 30GRS; REFLUX; ROSUFEN; ROSUFEN DUO
Reactivos,https://ar.prvademecum.com/laboratorio/reactivos-1040/,Av. Forest 1610 Piso 3,CABA,,,
